subject,name,url
Funds & Accounts ,"FIN-4.10 - Close the Business License Surcharge Fund, and Approve Renaming the Housing and Community Development Fund to the Community Development Block Grant Fund, and Approve Creating the Headwaters Apartment Complex Fund",article/319286
Funds & Accounts ,FIN-4.11 - Close the Campaign Finance Fund,article/359572
Funds & Accounts ,"FIN-4.12 - Approve renaming the Parks Capital Construction & Maintenance Fund, the Portland Parks Memorial Trust Fund, and the Local Improvement District Construction Fund",article/406799
Funds & Accounts ,FIN-4.13 - Create the Arts Education and Access Fund,article/429436
Funds & Accounts ,FIN-4.14 - Adopt Budget Ajustments and Establish Appropriation Authority for the Arts Education and Access Fund and the Private For-Hire Transportation Program Reforms,article/432358
Funds & Accounts ,FIN-4.15 - Approve Creation of Debt Service Funds and Closure of Cable Fund and Private for Hire Transportation Safety Fund,article/462638
Funds & Accounts ,FIN-4.16 - Authorize Creation of Community Solar Special Revenue Fund,article/469635
Funds & Accounts ,FIN-4.17 - Approve Renaming the Tax Increment Reimbursement Fund to the Tax Increment Financing Reimbursement Fund,article/497358
Funds & Accounts ,FIN-4.18 - Approve a Fund Statement of Purpose for Each City Fund and Rename Spectator Facilities Operating Fund,article/537326
Funds & Accounts ,FIN-4.19 - Update Fund Statements of Purpose for Various City Funds,article/589194
Funds & Accounts ,FIN-4.20 - Update Fund Statements of Purpose for Various City Funds,article/647997
Funds & Accounts ,"FIN-4.21 - Approve creating the Portland Police Association Health Insurance Fund and closing the Headwaters Apartment Complex Fund, the Education URA Debt Service Fund, and the Willamette Industrial URA Debt Service Fund",article/647999
Funds & Accounts ,"FIN-4.22 - Create, Rename, and Update the Fund Statements of Purpose for Various Funds",article/693922
Global Warming,ENN-5.01 - Local Action Plan on Global Warming,article/25049
Global Warming,ENN-5.02 - Implementation of Policies and Programs to Reduce Local Emissions of Greenhouse Gases,article/287960
Global Warming,ENN-5.03 - City of Portland and Multnomah County 2015 Climate Action Plan,article/539776
Global Warming,ENN-5.04 - Implementation by City Bureaus of Policies and Programs to Keep Portland on a Path to Reduce Local Carbon Emissions 80 Percent from 1990 Levels by 2050,article/539713
Global Warming,ENN-5.05 - Commerical Building Energy Performance Reporting,article/548979
Global Warming,ENN-5.06 - Portland 2017 Electric Vehicle Strategy,article/634694
Global Warming,ENN-5.07 - Residential Energy Performance Rating and Disclosure,article/643390
Global Warming,ENN-5.08 - Establish Goal to Meet 100% of Community-Wide Energy Needs With Renewable Energy by 2050,article/647988
Global Warming,ENN-5.09 - Green Building Certifications List for Low-Carbon Buildings,article/692345
Global Warming,ENN-5.10 - Energy Efficient Building Requirements for Planned Development Bonuses,article/707277
Government Relations,ADM-3.01 - Coordination of Government Relations,article/5806
Green Building,ENB-9.01 - Green Building Policy,article/54355
Green Building,ENB-9.02 - Green Building Policy Update (superseded),article/80338
Hearings Officer ,ADM-9.01 - Code Hearings Officer Rules,article/63132
Hearings Officer ,ADM-9.02 - Land Use Hearings Procedures,article/63218
Hearings Officer ,ADM-9.03 - Tow Appeal Hearing Rules and Regulations Before the Hearings Officer of the City of Portland,article/174105
Hearings Officer ,ADM-9.05 - Appeals to the City Code Hearings Officer,article/545438
Hearings Officer ,ARA-9.06 - Filing Fee for Appeal Hearings,article/643692
Historic Preservation,ART-3.01 - Prioritize Location Of City Offices And Operations In Historic Buildings,article/72719
Historic Preservation,ART- 3.02 - Prioritize Reuse of Artifacts from the Eric Ladd and Other Cast-Iron Artifact Collections in the Skidmore/Old Town Historic District,article/576330
Homelessness,HOU-2.01 - Home Again: A 10-year plan to End Homelessness in Portland and Multnomah County,article/105024
Housing Development & Production,HOU-1.01 - Affordable Housing Production Goal - City of Portland,article/36799
Housing Development & Production,HOU-1.02 - Affordable Housing Production Goal - Urban Portion of Unincorporated Multnomah County,article/52461
Housing Development & Production,"HOU-1.03 - Authorize Action Plan for FY 2015-16 - Community Development Block Grant, HOME Investment Partnership, Emergency Solutions Grant, and HUD Program",article/534340
Housing Development & Production,HOU-1.04 - Intergovernmental Agreement for Production of Housing-Related Plans and Performance Reports for HUD,article/539704
Housing Development & Production,HOU-1.05 - Designation of Block U for Resource Access Center and Affordable Housing Development,article/192181
Housing Development & Production,HOU-1.06 - Affordable Housing Tax Increment Financing Set Aside Policy,article/155330
Housing Development & Production,HOU-1.07 - Portland Housing Bureau Affordable Housing Green Building Policy,article/667646
Housing Development & Production,"HOU-1.08 - Authorize Action Plan for FY 2018-19 - Community Development Block Grant, HOME Investment Partnership Grant, Emergency Solutions Grant, and Housing Opportunities for Persons with AIDS Grant",article/670256
Housing Development & Production,"HOU-1.09 - Creation of 2,000 Additional Supportive Housing Units - 2028 Goal",article/670931
Housing Development & Production,HOU-1.10 - Risk Analysis and Compliance Policies and Guidelines,article/670970
Human Resources Administration,HRAR-1.01 - Duties & Authority of the Director of Human Resources - Mission & Vision of the Bureau of Human Resources,article/11976
Human Resources Administration,HRAR-1.02 - Administrative Rule Development and Issuance,article/11999
Human Resources Administration,"HRAR-1.03 - Public Records Information, Access and Retention",article/12001
Human Resources Administration,HRAR-1.04 - Personnel Records,article/12004
Human Resources Administration,HRAR-1.05 - Posting Requirements,article/12005
Human Resources Administration,HRAR-1.06 - Employee Medical Files,article/50129
Human Resources Administration,HRAR-1.07 - Time Review and Approval,article/372774
Independent Police Review,PSF-5.01 - Independent Police Review - Complaint Intake and Processing,article/9023
Independent Police Review,PSF-5.02 - Independent Police Review - Administrative Investigations,article/9027
Independent Police Review,PSF-5.03 - Citizen Review Committee - Independent Police Review Division - Appeals Procedures,article/9030
Independent Police Review,PSF-5.04 - Citizen Review Committee - Independent Police Review Division - Communication Guidelines,article/9031
Independent Police Review,PSF-5.05 - Independent Police Review - Appeal Requests,article/9033
Independent Police Review,PSF-5.06 - Citizen Review Committee (CRC) - Independent Police Review Division (IPR) - Process for Appointment and Reappointment to CRC,article/9035
Independent Police Review,PSF-5.07 - Citizen Review Committee - Public Comment Protocol,article/9037
Independent Police Review,PSF-5.08 - Independent Police Review - Supervisory Investigations,article/9039
Independent Police Review,PSF-5.09 - Independent Police Review - Mediation,article/9040
Independent Police Review,PSF-5.10 - Independent Police Review - Mediation Program Guidelines,article/9041
Independent Police Review,PSF-5.11 - Citizen Review Committee - Independent Police Review Case File Review Meeting Protocol,article/9043
Independent Police Review,PSF-5.12 - Citizen Review Committee (CRC) - Workgroup Protocol,article/9044
Independent Police Review,PSF-5.13 - Citizen Review Committee (CRC) - IPR - Supplemental Appeal Hearing Protocol,article/9046
Independent Police Review,PSF-5.14 - Citizen Review Committee (CRC) - Protocol for Request for Reconsideration of CRC Decision,article/9048
Independent Police Review,PSF-5.15 - Independent Police Review - Untimely Appeal Protocol,article/9049
Independent Police Review,PSF-5.16 - City Council Appeals Protocol for Independent Police Review Division's Citizen Review Committee Appeals,article/24573
Independent Police Review,PSF-5.17 - Citizen Review Committee - Independent Police Review Division - Guidance for Working Together Effectively,article/42957
Independent Police Review,PSF-5.18 - Citizen Review Committee - City Auditor's Independent Police Review Division - Policy Review Protocol,article/62444
Independent Police Review,PSF-5.20 - Internal Affairs Guidelines For Screening Referrals From IPR,article/73558
Independent Police Review,PSF-5.21 - Independent Police Review - Citizen Review Committee - Appeal Process Advisor,article/121750
Independent Police Review,PSF-5.22 - Citizen Review Committee - Election of Officers,article/156379
Independent Police Review,PSF-5.23 - Citizen Review Committee - Independent Police Review Division - CRC Member Duties and Responsibilities,article/176996
Independent Police Review,PSF-5.24 - Independent Police Review - Review of Tort Claims and Civil Complaints Alleging Tortious Conduct by Portland Police Officers,article/177027
Independent Police Review,PSF-5.25 - Independent Police Review - Monitor and Review of Police Bureau Investigations,article/699004
Information Technology,Administration,26912
Information Technology,Information Security,26913
Information Technology,E-Government,26914
Information Technology,"Data, Applications and Processes",42099
Information Technology,Corporate Applications,42100
Information Technology,Definitions,42101
Information Technology,See Also,31288
Labor Relations,BHR-17.01 - Labor Agreement - District Council of Trade Unions - 2004-2006,article/36677
Labor Relations,BHR-17.02 - Labor Agreement - Portland Police Association - 2002-2006,article/52497
Labor Relations,BHR-17.03 - Labor Agreement -  Portland Fire Fighters Association  - Vacation Banking,article/57346
Labor Relations,BHR-17.04 - Labor Agreement - Remittance Technician Terms of Employment,article/57349
Labor Relations,BHR-17.05 - Labor Agreement - District Council of Trade Unions - Water Security Specialist,article/57352
Labor Relations,BHR-17.06 - Labor Agreement - LIUNA Local 483 - Settlement Agreement,article/57372
Labor Relations,BHR-17.07 - Labor Agreement - District Council of Trade Unions - Parking Code Enforcement Officer,article/68118
Labor Relations,BHR-17.08 - Labor Agreement - District Council Of Trade Unions - Inspector And Plans Examiner,article/80193
Labor Relations,BHR-17.09 - Labor Agreement - District Council Of Trade Unions - Water Operations Mechanic,article/80207
Labor Relations,BHR-17.10 - Labor Agreement - District Council Of Trade Unions - Storekeeper/Acquisitions Specialist,article/80211
Labor Relations,BHR-17.11 - Labor Agreement - District Council Of Trade Unions - Storekeeper/Acquisitions Specialist III,article/80219
Labor Relations,BHR-17.12 - Labor Agreement - City of Portland Professional Employees Association - Information Technology Classifications,article/80220
Labor Relations,BHR-17.13 - Labor Agreement - City of Portland Professional Employees Association - 2007-2010,article/80347
Labor Relations,BHR-17.14 - Labor Agreement - LIUNA Local 483 - Recreation - 2007-2010,article/97706
Labor Relations,BHR-17.15 - Labor Agreement - District Council of Trade Unions - Wild Land Fires,article/98177
Labor Relations,BHR-17.16 - Labor Agreement - Portland Fire Fighters Association,article/98179
Labor Relations,BHR-17.17 - Labor Agreement - Portland Police Association - 2006-2010,article/114671
Labor Relations,BHR-17.18 - Labor Agreement - Portland Police Commanding Officers Association - 2006-2010,article/114673
Labor Relations,BHR-17.19 - Labor Agreement - District Council of Trade Unions - 2006-2010,article/114679
Labor Relations,BHR-17.20 - Labor Agreement - AFSCME Local 189-2 - 2006-2010,article/121038
Labor Relations,BHR-17.21 - Labor Agreement - Memorandum of Agreement with Portland Police Commanding Officers Association,article/136031
Labor Relations,BHR-17.22 - Labor Agreement - City of Portland Professional Employees Association - Certain Represented Employees,article/155507
Labor Relations,BHR-17.23 - Labor Agreement - Letter of Agreement - AFSCME Local 189-2 and Bureau of Emergency Communications,article/155542
Labor Relations,BHR-17.24 - Labor Agreement - Letter of Understanding - AFSCME Local 189-2 and Bureau of Emergency Communications,article/155551
Labor Relations,BHR-17.25 - Labor Agreement - LIUNA Local 483 - Seasonal Maintenance Workers - 2005-2007,article/156588
Labor Relations,BHR-17.26 - Labor Agreement - District Council of Trade Unions - Certain Represented Employees in Water Bureau,article/158526
Labor Relations,BHR-17.27 - Labor Agreement - LIUNA Local 483 - Seasonal Maintenance Workers - 2007-2011,article/191216
Labor Relations,BHR-17.28 - Labor Agreement - LIUNA Local 483 - Parking Meter Technician Pay Rate,article/200590
Labor Relations,BHR-17.29 - Labor Agreement - Portland Fire Fighters Association Local 43 - 2007-2010,article/200641
Labor Relations,BHR-17.30 - Labor Agreement - City of Portland Professional Employees Association - Environmental Policy Analyst,article/228602
Labor Relations,BHR-17.31 - Labor Agreement - Laborers' Local 483 - Recreation - 2010-2013,article/319487
Labor Relations,BHR-17.32 - Labor Agreement - Portland Fire Fighter's Association - 2010-2012,article/324392
Labor Relations,BHR-17.33 - Labor Agreement - City of Portland Professional Employees Association - 2010-2013,article/325024
Labor Relations,BHR-17.34 - Labor Agreement - District Council of Trade Unions - 2010-2013,article/327144
Labor Relations,BHR-17.35 - Labor Agreement - Laborers' Local 483 - Recreation - Letter of Agreement,article/327158
Labor Relations,BHR-17.36 - Labor Agreement - Portland Police Association - 2010-2013,article/337517
Labor Relations,BHR-17.37 - Labor Agreement - Portland Police Commanding Officers Association - 2010-2013,article/340463
Labor Relations,BHR-17.38 - Labor Agreement - Laborers' Local 483 - Wastewater Operators - Letter of Agreement,article/340483
Labor Relations,BHR-17.39 - Labor Agreement - Laborers' Local 483 - Seasonal Maintenance Workers - 2011-2014,article/362026
Labor Relations,BHR-17.40 - Labor Agreement - Portland Police Association - Amendments and Grievance Settlement,article/362232
Labor Relations,BHR-17.41 - Labor Agreement - City of Portland Professional Employees Association - Certain Represented Employees,article/367913
Labor Relations,BHR-17.42 - Labor Agreement - AFSCME Local 189-H - 2012-2015,article/390853
Labor Relations,BHR-17.43 - Labor Agreement - District Council of Trade Unions - Represented Employees and Commerical Driver's License,article/398727
Labor Relations,BHR-17.44 - Labor Agreement - AFSCME Local 189 - Represented Employees in Surveyor Classification Series,article/408373
Labor Relations,BHR-17.45 - Labor Agreement - AFSCME Local 189 - Letter of Agreement for Carolyne Haycraft,article/412584
Labor Relations,BHR-17.46 - Labor Agreement - Portland Police Association and Portland Police Bureau - Settlement Agreement and Memorandum of Understanding,article/412684
Labor Relations,BHR-17.47 - Labor Agreement - AFSCME Local 189 and Portland Bureau of Transportation - Scheduling Parking Enforcement Officers on Day After Thanksgiving - Letter of Agreement,article/412704
Labor Relations,BHR-17.48 - Labor Agreement - AFSCME Local 189 and Portland Bureau of Transportation - Holiday Pay for Parking Code Enforcement Officers - Letter of Agreement,article/412712
Labor Relations,BHR-17.49 - Labor Agreement - Portland Fire Fighters Association - 2012-2016,article/422317
Labor Relations,BHR-17.50 - Labor Agreement - City of Portland Professional Employees Association - 2013-2017,article/462556
Labor Relations,BHR-17.51 - Labor Agreement - Portland Police Association - 2013-2017,article/475649
Labor Relations,BHR-17.52 - Labor Agreement - Portland Police Commanding Officers Association - 2013-2015,article/482311
Labor Relations,BHR-17.53 - Labor Agreement - Laborers Local 483 - Recreation - 2013,article/482313
Labor Relations,BHR-17.54 - Labor Agreement - AFSCME Local 189-2 and Bureau of Emergency Communications - 2010-2013,article/483745
Labor Relations,BHR-17.55 - Labor Agreement - AFSCME Local 189-2 and Bureau of Emergency Communications - 2013-2016,article/483758
Labor Relations,BHR-17.56 - Labor Agreement - District Council of Trade Unions - 2013-2017,article/490017
Labor Relations,BHR-17.57 - Labor Agreement - City of Portland Professional Employees Association - Increase Number of Compensatory Hours - Letter of Agreement,article/499461
Labor Relations,BHR-17.58 - Labor Agreement - Laborers' Local 483 - Seasonal Maintenance Workers - 2014-2018,article/505867
Labor Relations,"BHR-17.59 - Labor Agreement - AFSCME Local 189 and Water Bureau - Water Meter Technican Wages, Seniority and Commerical Driver's License Requirements - Letter of Agreement",article/510548
Labor Relations,BHR-17.60 - Labor Agreement - Laborers' Local 483 and Portland Parks & Recreation - Add Seasonal and Full-Time Employees in Park Ranger Classification to Collective Bargaining Agreement - Letter of Agreement,article/510589
Labor Relations,BHR-17.61 - Labor Agreement - Laborers' Local 483 - Protected Sick Time for Seasonal Maintenance Workers - Letter of Agreement,article/518171
Labor Relations,BHR-17.62 - Labor Agreement - Laborers' Local 483 and Portland Parks & Recreation - Protected Sick Time for Seasonal Park Rangers - Letter of Agreement,article/518177
Labor Relations,BHR-17.63 - Labor Agreement - Portland Firefighters' Association Local 43 and Portland Fire & Rescue - Alternative Destination and Transportation Pilot Program - Letter of Agreement,article/518297
Labor Relations,BHR-17.64 - Labor Agreement - AFSCME Local 189 and Portland Police Bureau - Crime Prevention Program Administrator Classification - Letter of Agreement,article/520764
Labor Relations,BHR-17.65 - Labor Agreement - AFSCME Local 189 and Bureau of Development Services - Housing Inspector and Senior Housing Inspector Retroactive Wages Increases - Letter of Agreement,article/522905
Labor Relations,BHR-17.66 - Labor Agreement - AFSCME Local 189 and Bureau of Emergency Communications - Full or Partial Shift Trades for Support Specialist Classification - Letter of Agreement,article/534171
Labor Relations,BHR-17.67 - Labor Agreement - AFSCME Council 75 Local 189-3 and Portland Housing Bureau - 2015-2019,article/546092
Labor Relations,BHR-17.68 - Labor Agreement - LIUNA Laborers' Local 483 and Portland Parks & Recreation - Partial Compliance Agreement,article/546106
Labor Relations,BHR-17.69 - Labor Settlement Agreement - Premium Pay for Working Underground or in a Shored Excavation,article/550044
Labor Relations,BHR-17.70 - Labor Agreement - Portland Police Commanding Officers Association - 2015-2018,article/552884
Labor Relations,BHR-17.71 - Labor Agreement - LIUNA Laborers' Local 483 and Portland Parks & Recreation - Outstanding Phase I Matters,article/558808
Labor Relations,BHR-17.72 - Labor Agreement - LIUNA Laborers' Local 483 and Portland Parks & Recreation - Full Compliance Agreement,article/569817
Labor Relations,BHR-17.73 - Labor Agreement - AFSCME Local 189 - Letter of Agreement for Deanna Hattan,article/571401
Labor Relations,BHR-17.74 - Labor Agreement - Portland Police Association - 2016-2020,article/618106
Labor Relations,BHR-17.75 - Labor Agreement - Portland Police Commanding Officers Association - Amendment,article/634470
Labor Relations,BHR-17.76 - Labor Agreement - Laborers' Local 483 and Portland Bureau of Transportation - Shift Premium Pay - Letter of Agreement,article/634657
Labor Relations,BHR-17.77 - Labor Agreement - Laborers Local 483 - Portland City Laborers - 2017-2021,article/663690
Labor Relations,BHR-17.78 - Labor Agreement - Laborers Local 483 - Recreation - 2017-2021,article/663692
Labor Relations,BHR-17.79 - Labor Agreement - Professional & Technical Employees Local 17 - 2017-2021,article/663694
Labor Relations,BHR-17.80 - Labor Agreement - District Council of Trade Unions - 2017-2020,article/671006
Labor Relations,BHR-17.81 - Labor Agreement - Portland Fire Fighters Association - Premium Pay Eligibility Requirements for Technical Rescue Team Members - Letter of Agreement,article/695621
Labor Relations,BHR-17.82 - Labor Agreement - Portland Fire Fighters Association - Settlement of Employee Grievances and Revision of City's Reprimand Policy,article/695626
Labor Relations,BHR-17.83 - Labor Agreement - Laborers' Local 483 - Seasonal Maintenance Workers - 2018-2022,article/698450
Labor Relations,BHR-17.84 - Labor Agreement - Portland Police Commanding Officers Association - 2018-2020,article/698474
Labor Relations,BHR-17.85 - Labor Agreement - Portland Police Association - Memorandum of Agreement for Public Safety Support Specialist Classification,article/711150
Land Divisions ,ENB-3.01 - Title 17 Land Division Related Administrative Rules,article/5856
Leaves,HRAR-6.01 - General Leaves of Absence,article/11984
Leaves,HRAR-6.02 - Holidays,article/12412
Leaves,HRAR-6.03 - Vacation,article/12413
Leaves,HRAR-6.04 (a) - Sick Leave,article/12414
Leaves,HRAR-6.04 (b) - Sick Leave,article/736050
Leaves,HRAR-6.05 - Family Medical Leave,article/12415
Leaves,HRAR-6.06 - Catastrophic Leave,article/12416
Leaves,HRAR-6.07 (A) - Military Leave - Vacation Donation Program,article/33080
Leaves,HRAR-6.07 - Military Leave,article/12417
Leaves,HRAR-6.08 - Funeral and Bereavement Leave,article/12418
Leaves,HRAR-6.09 - Jury Duty Leave,article/12419
Leaves,"HRAR-6.10 (A) - Leave for Victims of Domestic Violence, Sexual Assault or Stalking",article/168270
Leaves,HRAR-6.10 - Leave to Attend Court or Other Legal Proceeding,article/12420
Leaves,HRAR-6.11 - Search and Rescue Operations and Disaster Relief,article/12421
Leaves,HRAR-6.12 - Conventions and Meetings,article/12422
Leaves,HRAR-6.13 - Supplemental Workers' Compensation Benefits,article/12423
Leaves,HRAR-6.14 - Restoration and Use of Accrued Leave for Members Receiving Benefits From the Fire Police Disability Retirement and Death Benefit Plan,article/40362
Levies & Taxation,FIN-5.01 - FY 2003-04 Tax Levy,article/52285
Levies & Taxation,FIN-5.02 - FY 2005-06 Tax Levy,article/97244
Levies & Taxation,FIN-5.03 - FY 2006-07 Tax Levy,article/135457
Levies & Taxation,FIN-5.04 - FY 2007-08 Tax Levy,article/162111
Levies & Taxation,FIN-5.05 - FY 2008-09 Tax Levy,article/203314
Levies & Taxation,FIN-5.06 - FY 2009-10 Tax Levy,article/270133
Levies & Taxation,FIN-5.07 - FY 2010-11 Tax Levy,article/319467
Levies & Taxation,FIN-5.08 - FY 2011-12 Tax Levy,article/359701
Levies & Taxation,FIN-5.09 - FY 2012-13 Tax Levy,article/406574
Levies & Taxation,FIN-5.10 - FY 2013-14 Tax Levy,article/462646
Levies & Taxation,FIN-5.11 - FY 2014-15 Tax Levy,article/497360
Levies & Taxation,FIN-5.12 - FY 2015-16 Tax Levy,article/537328
Levies & Taxation,FIN-5.13 - FY 2016-17 Tax Levy,article/582699
Levies & Taxation,FIN-5.14 - FY 2017-18 Tax Levy,article/648008
Levies & Taxation,FIN-5.15 - FY 2018-19 Tax Levy,article/693932
Levies & Taxation,See Also - Transient Lodgings Tax Program,article/72669
License Required,LIC-3.01 - Taxable Income after Business Activity has Ceased,article/8831
"Licenses, Administration","LIC-2.01 - ""Doing Business"" for an Estate",article/8829
"Licenses, Administration","LIC-2.02 - ""Doing Business"" for a Trust",article/8830
"Licenses, Administration",LIC-2.03 - 2012 Tax Amnesty Policy,article/398049
"Licenses, Definitions",LIC-1.01 - Oregon Modifications to Business Income,article/8822
"Licenses, Definitions",LIC-1.02 - Definition of Owner - Sole Proprietor,article/8823
"Licenses, Definitions",LIC-1.03 - Definition of Owners - Partnership,article/8825
"Licenses, Definitions",LIC-1.04 - Definition of Total Gross Income & Gross Receipts for Apportionment and Exemption,article/8826
"Licenses, Definitions",LIC-1.05 - Diversified Investing Fund Deduction,article/185052
"Licenses, Exemptions",LIC-4.01 - Exemption from Tax for Individuals and Joint Return Filers,article/8832
"Licenses, Exemptions",LIC-4.02 - Exemption for Insurance Producers,article/8833
"Licenses, Exemptions",LIC-4.03 - Business License Tax Exemption for Real Estate Brokers,article/8836
"Licenses, Exemptions",LIC-4.04 - Extension of Time to File Amended Returns Pursuant to the Decision in the Proctor Case,article/397723
"Licenses, Fees",LIC-5.01 - Seasonal Businesses and Payment of Estimated Taxes,article/8837
"Licenses, Fees",LIC-5.02 - Pay Ratio Surtax,article/663142
"Licenses, Income",LIC-6.01 - Payments Deemed to be Compensation to Owners,article/8838
"Licenses, Income",LIC-6.02 - Self-Employment Tax Deduction and Health Care Premium Deduction,article/8839
"Licenses, Income",LIC-6.03 - Change of Ownership During the Year and Calculation of the Compensation Allowance Deduction,article/8840
"Licenses, Income",LIC-6.04 - Patronage Dividends,article/8860
"Licenses, Income",LIC-6.05 - Short Periods Count as Tax Year,article/8861
"Licenses, Income",LIC-6.06 - Definition of Controlling Shareholders and Calculation of Number of Controlling Shareholders,article/8862
"Licenses, Income",LIC-6.07 - Treatment of Currently Taxed Pass-Through Income,article/8870
"Licenses, Income",LIC-6.08 - Partnerships - Partner Level Deduction Election,article/8873
"Licenses, Income",LIC-6.09 - Qualified Retirement Plans,article/8876
"Licenses, Income",LIC-6.10 - De Minimus Business Activity for Personal Services,article/8879
"Licenses, Income",LIC-6.11 - Apportionment of Gains and Incomes Due to Sale of a Business,article/8891
"Licenses, Income",LIC-6.12 - Business Activity and Apportionment of Sales of Tangible Personal Property,article/8892
"Licenses, Income",LIC-6.13 - De Minimus Business Activity for Tangible Personal Property,article/8894
"Licenses, Income",LIC-6.14 - Apportionment of Gross Income from Business Activities Other than Sales of Tangible Personal Property,article/8909
"Licenses, Income",LIC-6.15 - Apportionment for Banking Income,article/8910
"Licenses, Income",LIC-6.16 - Apportionment for Domestic Insurers,article/8912
"Licenses, Income",LIC-6.17 - Apportionment for Freight Carriers,article/8913
"Licenses, Income",LIC-6.18 - Apportionment for Passenger Carriers,article/8918
"Licenses, Income",LIC-6.19 - Apportionment for Incomes Subject to PCC Chapters 7.12 or 7.14,article/8921
"Licenses, Income",LIC-6.20 - Apportionment for Providers of Electronic or Telephonic Services,article/8922
"Licenses, Income",LIC-6.21 - De Minimus Business Activity for Freight Carriers,article/625562
"Licenses, Income",LIC-6.22 - Petition for Reduction of Heavy Vehicle Use Tax,article/625577
"Licenses, Income",LIC-6.23 - Net Operating Losses,article/648160
"Licenses, Income",LIC-6.24 - Partnership Basis Adjustments,article/686821
Lobbying Entity Regulation,ADM-15.01 - Lobbying Entity Registration & Reporting,article/110899
Lobbying Entity Regulation,ADM-15.02 - City Official Reporting,article/119386
Lobbying Entity Regulation,ADM - 15.03 Enforcement and Civil Penalties,article/593522
Local Improvement Districts,ENB-6.01 - Local Improvement District Process Policy,article/36633
Local Improvement Districts,ENB-6.02 - Local Improvement District Financing Policy,article/36637
Local Improvement Districts,See also Assessments & Liens Policies & Rules,article/62935
Measure 37 Claims,ENB-7.02 - Measure 37 Claims - Clarify Review Process,article/80334
Measure 37 Claims,ENB-7.03 - Measure 37 Claims - Property Owner Waiver,article/83572
Natural Resource Protection,ENN-7.01 - Portland Plant List,article/52481
Natural Resource Protection,ENN-7.02 - Bird-Safe Window List,article/692349
Natural Resource Protection,ENN-7.03 - Stormwater Management Using Onsite Surface Vegetated Facilities,article/192303
Natural Resource Protection,ENN-7.04 - Nuisance Plants Required Removal Program,article/301182
Natural Resource Protection,See Also - Columbia South Shore Natural Resource Protection Plan Mitigation Guidelines and Actions ,article/71369
Natural Resource Protection,See Also - Peninsula Drainage District No. 1 Natural Resource Management Plan Actions ,article/71364
Natural Resource Protection,See Also - Scenic Views from West Bank of Willamette River,article/56836
Natural Resource Protection,See Also - Willamette River Greenway Plan Update,article/67680
Noise Control ,ENB-5.01 - Noise Control Enforcement and Penalties,article/27419
Noise Control ,ENB-5.02 - Noise Variance and Other Fees Schedule,article/79676
Nuisance Abatement ,"ENB-8.01 - Time, Place, & Manner Administrative Procedures for Regulation of Nuisance Aspects of Establishments that Serve Alcoholic Beverages",article/42594
Nuisance Abatement ,"ENB-8.02 - Time, Place and Manner Memorandum of Understanding",article/42637
Nuisance Abatement ,ENB-8.03 - Inter-Bureau Problem-Solving Task Force,article/102315
Nuisance Abatement ,ENB-8.04 - Parade Event Marking,article/198316
Ombudsman,ADM-6.01 - Ombudsman’s Office Policies & Procedures,article/564685
Park Uses,PRK-1.01 - Pioneer Courthouse Square - Transit Use Areas,article/8961
Park Uses,PRK-1.02 - Non-Park Use of Park Property,article/8962
Park Uses,PRK-1.03 - Springwater Corridor - Non-Park Uses,article/8964
Park Uses,PRK-1.04 - No Dogs Allowed In Tanner Springs Park,article/108896
Park Uses,PRK-1.05 - No Smoking in Pioneer Courthouse Square Transit Areas,article/108902
Park Uses,PRK-1.06 - Downtown Park Closures,article/108906
Park Uses,PRK-1.07 - McCoy Park Hours,article/135914
Park Uses,PRK-1.08 - Portland Patrol Employees Designated as Park Officers at McCoy Park,article/135939
Park Uses,PRK-1.09 - Eastridge Park Open Hours,article/246374
Park Uses,PRK-1.10 - Glenfair Park Open Hours,article/246378
Park Uses,PRK-1.11 - Director Park Prohibited Conduct,article/246383
Park Uses,PRK-1.12 - No Smoking in South Park Blocks Located on Portland State University Campus,article/489936
Park Uses,PRK-1.13 - Hours of Closure and Speed Limit: Council Crest Parking Lot,article/590292
Park Uses,PRK-1.14 - Lents Park - Parking Lot Hours,article/590298
Park Uses,PRK-1.15 - Hours of Closure: Mt. Tabor Parking Lot,article/590301
Park Uses,PRK-1.16 - Temporary Swimming Program to be Piloted at Poet's Beach: Special Park Rules,article/646931
Park Uses,PRK-1.17 - Short Term Boat Launch and Moorage Rules,article/655440
Park Uses,PRK-1.18 - Geocashing in Portland Parks,article/669048
Park Uses,PRK-1.19 - Washington Park Parking & Transportation Administrative Rules,article/692811
Parking,TRN-3.103 - Lloyd On-Street Parking Management Plan (1997),article/94520
Parking,TRN-3.105 - Lloyd On-Street Parking Meter Revenue Allocation Plan,article/94546
Parking,TRN-3.107 - Lloyd On-Street Parking Management Plan (2002),article/94557
Parking,TRN-3.108 - Parking Meter Rates,article/94581
Parking,TRN-3.109 - Oregon Health Science University Meter District,article/93647
Parking,TRN-3.110 - Marquam Hill Meter District Revenue Allocation Plan and Parking Meter Rate Increase,article/303489
Parking,TRN-3.111 - Central Eastside Parking Meter District and Associated Area Parking Permit Program,article/408332
Parking,TRN-3.112 - Parking Meter Revenue Allocation Policy,article/698363
Parking,TRN-3.113 - Parking Pricing and Event District Policy,article/698375
Parks Administration,PRK-3.01 - Accepting Gifts & Memorials,article/68087
Parks Administration,PRK-3.02 - PP&R Adopt-A-Bench Program Policy and Review Procedures,article/68089
